"","occurrenceID","individualCount","sex","organismID","eventDate","year","month","day","waterBody","countryCode","decimalLatitude","decimalLongitude","scientificName"
"491",164,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-45.6232,-176.653,"Carcharodon carcharias (Linnaeus, 1758)"
"492",27,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.3856,-176.189,"Carcharodon carcharias (Linnaeus, 1758)"
"493",463,1,"FEMALE","Shark 78469",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.3954,-176.674,"Carcharodon carcharias (Linnaeus, 1758)"
"494",855,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-43.7302,-176.078,"Carcharodon carcharias (Linnaeus, 1758)"
"495",1000,1,"MALE","Shark 88234",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.267,167.967,"Carcharodon carcharias (Linnaeus, 1758)"
"496",562,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.3856,166.684,"Carcharodon carcharias (Linnaeus, 1758)"
"497",112,1,"FEMALE","Shark 57035",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.9312,-176.588,"Carcharodon carcharias (Linnaeus, 1758)"
"498",1183,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.6424,167.488,"Carcharodon carcharias (Linnaeus, 1758)"
"499",211,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.4531,-176.85,"Carcharodon carcharias (Linnaeus, 1758)"
"500",62,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.82,-176.087,"Carcharodon carcharias (Linnaeus, 1758)"
"501",1132,1,"MALE","Shark 78476",2009,2009,NA,NA,"Pacific Ocean","NZ",-36.5601,173.407,"Carcharodon carcharias (Linnaeus, 1758)"
"502",805,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.1181,-177.087,"Carcharodon carcharias (Linnaeus, 1758)"
"503",163,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.224,-175.986,"Carcharodon carcharias (Linnaeus, 1758)"
"504",26,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.3648,-176.193,"Carcharodon carcharias (Linnaeus, 1758)"
"505",904,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.6367,-175.974,"Carcharodon carcharias (Linnaeus, 1758)"
"506",462,1,"FEMALE","Shark 78469",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.2099,-176.412,"Carcharodon carcharias (Linnaeus, 1758)"
"507",854,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-43.963,-176.204,"Carcharodon carcharias (Linnaeus, 1758)"
"508",999,1,"MALE","Shark 88234",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.3814,168.243,"Carcharodon carcharias (Linnaeus, 1758)"
"509",561,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.0162,166.796,"Carcharodon carcharias (Linnaeus, 1758)"
"510",1131,1,"MALE","Shark 78476",2009,2009,NA,NA,"Pacific Ocean","NZ",-37.4257,172.635,"Carcharodon carcharias (Linnaeus, 1758)"
"511",111,1,"FEMALE","Shark 57035",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.9389,-176.479,"Carcharodon carcharias (Linnaeus, 1758)"
"512",1182,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.5794,168.6,"Carcharodon carcharias (Linnaeus, 1758)"
"513",210,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.4847,-175.963,"Carcharodon carcharias (Linnaeus, 1758)"
"514",804,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.1892,-176.281,"Carcharodon carcharias (Linnaeus, 1758)"
"515",61,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.7557,-176.338,"Carcharodon carcharias (Linnaeus, 1758)"
"516",25,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.3125,-176.041,"Carcharodon carcharias (Linnaeus, 1758)"
"517",903,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.4124,-176.184,"Carcharodon carcharias (Linnaeus, 1758)"
"518",853,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.0664,-176.967,"Carcharodon carcharias (Linnaeus, 1758)"
"519",260,1,"FEMALE","Shark 64031",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.2316,-175.992,"Carcharodon carcharias (Linnaeus, 1758)"
"520",110,1,"FEMALE","Shark 57035",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.9562,-176.406,"Carcharodon carcharias (Linnaeus, 1758)"
"521",461,1,"FEMALE","Shark 78469",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.5714,-175.504,"Carcharodon carcharias (Linnaeus, 1758)"
"522",1130,1,"MALE","Shark 78476",2009,2009,NA,NA,"Pacific Ocean","NZ",-38.3128,173.395,"Carcharodon carcharias (Linnaeus, 1758)"
"523",209,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.4152,-176.753,"Carcharodon carcharias (Linnaeus, 1758)"
"524",998,1,"MALE","Shark 88234",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.7833,167.248,"Carcharodon carcharias (Linnaeus, 1758)"
"525",1181,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.4329,168.022,"Carcharodon carcharias (Linnaeus, 1758)"
"526",60,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.6603,-175.87,"Carcharodon carcharias (Linnaeus, 1758)"
"527",803,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.0326,-176.043,"Carcharodon carcharias (Linnaeus, 1758)"
"528",560,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-44.7388,167.375,"Carcharodon carcharias (Linnaeus, 1758)"
"529",24,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.255,-175.969,"Carcharodon carcharias (Linnaeus, 1758)"
